Applicant_ID,Age,Gender,Race/Ethnicity,Sexual_Orientation,Religion,Marital_Status,Socioeconomic_Status,Education_Level,Years_of_Experience,Industry,Job_Position_Applied_For,Application_Status,Salary_Offer,Interview_Feedback_Score,Referral_Status
0033,37,Non-Binary,Black,LGBTQ+,Non-religious,Divorced,Middle,Ph.D.,28,Retail,Mid-Level,Rejected,,3,Yes
0034,36,Non-Binary,Asian,Heterosexual,Other,Divorced,Low,Bachelor's,9,Tech,Entry-Level,Accepted,154554.0,10,Yes
0035,47,Prefer not to say,Mixed,Heterosexual,Other,Widowed,Middle,Ph.D.,15,Finance,Entry-Level,Accepted,141449.0,4,Yes
0036,62,Prefer not to say,Asian,Heterosexual,Christian,Widowed,Low,Ph.D.,33,Manufacturing,Senior-Level,Rejected,,10,No
0037,53,Prefer not to say,Black,LGBTQ+,Jewish,Divorced,Low,Master's,33,Education,Mid-Level,Rejected,,8,Yes
0038,63,Non-Binary,Black,LGBTQ+,Hindu,Divorced,High,High School,4,Finance,Mid-Level,Rejected,,3,Yes
0039,22,Prefer not to say,White,LGBTQ+,Non-religious,Widowed,Middle,High School,6,Education,Executive,Accepted,180913.0,7,No
0040,18,Non-Binary,Hispanic,LGBTQ+,Jewish,Married,Middle,Bachelor's,17,Education,Executive,Accepted,131936.0,6,No
0041,64,Female,Other,LGBTQ+,Muslim,Single,Middle,High School,2,Retail,Executive,Accepted,151031.0,3,Yes
0042,34,Prefer not to say,Hispanic,Heterosexual,Jewish,Divorced,Middle,Ph.D.,17,Education,Senior-Level,Accepted,153288.0,1,Yes
0043,40,Female,Mixed,Heterosexual,Other,Single,Low,Bachelor's,12,Tech,Mid-Level,Accepted,63088.0,8,Yes
0044,54,Female,White,LGBTQ+,Hindu,Married,High,High School,5,Healthcare,Entry-Level,Accepted,111777.0,10,No
0045,43,Female,Asian,Heterosexual,Christian,Divorced,High,High School,18,Tech,Senior-Level,Rejected,,6,Yes
0046,50,Non-Binary,Asian,LGBTQ+,Jewish,Single,Middle,Master's,40,Education,Mid-Level,Rejected,,3,No
0047,57,Prefer not to say,White,LGBTQ+,Other,Divorced,Middle,Bachelor's,5,Healthcare,Executive,Accepted,151820.0,10,No
0048,39,Male,White,LGBTQ+,Muslim,Widowed,Low,Master's,16,Healthcare,Senior-Level,Rejected,,9,Yes
0049,51,Female,Asian,Heterosexual,Other,Widowed,Middle,Bachelor's,30,Retail,Executive,Rejected,,1,Yes
0050,36,Female,White,Heterosexual,Hindu,Divorced,Middle,Master's,27,Retail,Senior-Level,Rejected,,8,No
0051,37,Non-Binary,Black,Heterosexual,Other,Married,Middle,High School,17,Retail,Mid-Level,Accepted,86723.0,8,No
0052,64,Non-Binary,Asian,Heterosexual,Hindu,Married,Middle,Bachelor's,19,Tech,Mid-Level,Rejected,,1,Yes
0053,53,Non-Binary,Mixed,Heterosexual,Other,Widowed,Low,High School,18,Healthcare,Executive,Rejected,,8,No
0054,29,Male,Hispanic,LGBTQ+,Christian,Single,Middle,Ph.D.,4,Manufacturing,Entry-Level,Accepted,69111.0,10,No
0055,23,Female,Asian,LGBTQ+,Non-religious,Married,High,Ph.D.,28,Education,Senior-Level,Rejected,,5,Yes
0056,57,Male,Other,Heterosexual,Other,Married,Middle,High School,5,Finance,Mid-Level,Accepted,71034.0,1,No
0057,46,Prefer not to say,Hispanic,Heterosexual,Muslim,Divorced,High,Master's,29,Tech,Mid-Level,Rejected,,10,Yes
0058,45,Male,Native American,Heterosexual,Other,Married,Middle,Bachelor's,4,Tech,Mid-Level,Rejected,,10,No
0059,46,Male,White,LGBTQ+,Other,Widowed,Middle,Ph.D.,28,Tech,Entry-Level,Rejected,,6,No
0060,19,Male,Black,Heterosexual,Other,Divorced,High,High School,5,Education,Executive,Rejected,,3,No
0061,58,Prefer not to say,Asian,LGBTQ+,Hindu,Widowed,Middle,Master's,6,Finance,Senior-Level,Rejected,,8,No
0062,60,Prefer not to say,Other,Heterosexual,Jewish,Single,Middle,Master's,20,Tech,Executive,Accepted,172237.0,8,No
0063,21,Female,Native American,LGBTQ+,Non-religious,Widowed,High,Ph.D.,3,Finance,Senior-Level,Accepted,105505.0,8,No
0064,25,Male,Mixed,Heterosexual,Other,Married,Middle,High School,17,Education,Entry-Level,Accepted,59743.0,8,Yes
0065,59,Female,White,LGBTQ+,Non-religious,Divorced,Middle,Ph.D.,30,Finance,Executive,Accepted,130554.0,4,Yes
0066,22,Non-Binary,Other,LGBTQ+,Hindu,Divorced,Low,Master's,19,Manufacturing,Executive,Accepted,147059.0,9,No
0067,40,Non-Binary,Native American,LGBTQ+,Jewish,Divorced,Low,Bachelor's,36,Education,Mid-Level,Rejected,,1,No
0068,65,Prefer not to say,Mixed,LGBTQ+,Jewish,Married,Middle,High School,4,Manufacturing,Senior-Level,Accepted,145423.0,2,No
0069,18,Female,White,Heterosexual,Christian,Widowed,Middle,Master's,39,Retail,Executive,Accepted,116131.0,9,No
0070,38,Prefer not to say,Other,Heterosexual,Non-religious,Single,Low,Master's,14,Retail,Entry-Level,Rejected,,2,Yes
0071,46,Female,Mixed,LGBTQ+,Christian,Single,Middle,High School,9,Healthcare,Senior-Level,Rejected,,3,Yes
0072,51,Prefer not to say,Native American,Heterosexual,Muslim,Married,Low,Ph.D.,39,Retail,Mid-Level,Rejected,,10,Yes
0073,32,Prefer not to say,Mixed,LGBTQ+,Jewish,Divorced,High,High School,14,Healthcare,Mid-Level,Accepted,145796.0,6,No
0074,58,Prefer not to say,Mixed,LGBTQ+,Jewish,Divorced,Low,Ph.D.,30,Tech,Mid-Level,Rejected,,10,No
0075,54,Non-Binary,Mixed,LGBTQ+,Christian,Widowed,Middle,High School,18,Retail,Entry-Level,Rejected,,5,Yes
0076,56,Non-Binary,Black,Heterosexual,Non-religious,Divorced,High,Bachelor's,40,Tech,Entry-Level,Rejected,,8,Yes
0077,55,Non-Binary,Mixed,Heterosexual,Christian,Divorced,Middle,Ph.D.,11,Finance,Mid-Level,Rejected,,9,No
0078,28,Non-Binary,Other,LGBTQ+,Hindu,Divorced,Low,Ph.D.,4,Finance,Mid-Level,Rejected,,9,No
0079,23,Prefer not to say,Asian,LGBTQ+,Non-religious,Single,Middle,Master's,16,Manufacturing,Executive,Rejected,,2,Yes
0080,48,Male,Native American,LGBTQ+,Non-religious,Married,High,High School,20,Education,Senior-Level,Rejected,,2,Yes
0081,20,Male,Hispanic,LGBTQ+,Christian,Single,Low,Bachelor's,24,Education,Senior-Level,Rejected,,10,Yes
0082,44,Male,Other,LGBTQ+,Non-religious,Widowed,Middle,High School,11,Finance,Executive,Rejected,,4,No
0083,24,Non-Binary,Native American,LGBTQ+,Christian,Widowed,Middle,Bachelor's,7,Education,Entry-Level,Accepted,198218.0,10,Yes
0084,21,Non-Binary,Black,Heterosexual,Non-religious,Married,Low,Bachelor's,37,Finance,Mid-Level,Rejected,,3,Yes
0085,35,Female,Black,LGBTQ+,Muslim,Single,High,High School,4,Tech,Senior-Level,Accepted,184364.0,6,Yes
0086,29,Non-Binary,Asian,Heterosexual,Other,Widowed,High,High School,2,Education,Executive,Rejected,,9,Yes
0087,46,Female,Native American,Heterosexual,Other,Divorced,Middle,High School,1,Education,Executive,Rejected,,2,No
0088,63,Prefer not to say,Asian,Heterosexual,Hindu,Married,Low,Bachelor's,17,Manufacturing,Senior-Level,Rejected,,10,No
0089,47,Prefer not to say,Asian,Heterosexual,Other,Married,Middle,Ph.D.,14,Education,Senior-Level,Rejected,,7,No
0090,64,Male,Hispanic,LGBTQ+,Hindu,Divorced,Middle,Bachelor's,30,Tech,Entry-Level,Accepted,54439.0,7,Yes
0091,65,Non-Binary,Other,Heterosexual,Non-religious,Single,High,Master's,7,Education,Senior-Level,Rejected,,1,No
0092,56,Non-Binary,Hispanic,Heterosexual,Non-religious,Married,Low,Ph.D.,14,Tech,Senior-Level,Rejected,,2,No
0093,54,Female,Other,LGBTQ+,Non-religious,Single,High,Master's,1,Finance,Senior-Level,Rejected,,6,No
0094,18,Female,Other,Heterosexual,Non-religious,Widowed,Low,Bachelor's,40,Tech,Entry-Level,Accepted,128617.0,7,No
0095,39,Female,Hispanic,LGBTQ+,Other,Divorced,High,High School,1,Finance,Mid-Level,Accepted,51386.0,5,No
0096,60,Prefer not to say,White,LGBTQ+,Jewish,Divorced,Low,High School,11,Education,Entry-Level,Rejected,,10,No
0097,51,Non-Binary,Asian,Heterosexual,Jewish,Single,Low,Bachelor's,19,Finance,Mid-Level,Rejected,,5,No
0098,25,Male,White,LGBTQ+,Muslim,Married,Middle,Bachelor's,32,Manufacturing,Senior-Level,Accepted,134089.0,1,No
0099,19,Prefer not to say,Asian,LGBTQ+,Non-religious,Widowed,High,Ph.D.,40,Education,Senior-Level,Accepted,136176.0,1,No
0100,28,Prefer not to say,Other,LGBTQ+,Christian,Widowed,Low,Bachelor's,27,Manufacturing,Executive,Accepted,133747.0,5,No
0101,32,Non-Binary,Other,Heterosexual,Christian,Single,High,Bachelor's,22,Healthcare,Mid-Level,Accepted,56949.0,3,No
0102,30,Female,Native American,Heterosexual,Other,Single,Low,Ph.D.,29,Manufacturing,Executive,Rejected,,6,Yes
0103,46,Male,White,LGBTQ+,Other,Divorced,Middle,High School,11,Manufacturing,Entry-Level,Rejected,,8,No
0104,20,Male,Hispanic,LGBTQ+,Christian,Single,High,Ph.D.,29,Manufacturing,Entry-Level,Rejected,,10,Yes
0105,38,Prefer not to say,Native American,Heterosexual,Christian,Widowed,Low,Master's,5,Manufacturing,Mid-Level,Accepted,94944.0,8,No
0106,51,Female,Hispanic,LGBTQ+,Hindu,Widowed,Middle,Master's,38,Tech,Senior-Level,Accepted,116426.0,2,No
0107,36,Non-Binary,Mixed,Heterosexual,Hindu,Single,High,Bachelor's,22,Healthcare,Executive,Accepted,185986.0,2,No
0108,53,Prefer not to say,Mixed,LGBTQ+,Muslim,Single,High,Ph.D.,32,Healthcare,Entry-Level,Rejected,,5,Yes
0109,31,Non-Binary,Other,LGBTQ+,Muslim,Married,Low,Bachelor's,4,Healthcare,Entry-Level,Accepted,118280.0,10,Yes
0110,56,Prefer not to say,Black,Heterosexual,Muslim,Married,High,Ph.D.,2,Education,Senior-Level,Accepted,146444.0,10,No
0111,65,Prefer not to say,Black,Heterosexual,Hindu,Widowed,Low,Master's,36,Education,Executive,Rejected,,7,No
0112,28,Female,Other,Heterosexual,Hindu,Single,High,Ph.D.,23,Manufacturing,Entry-Level,Accepted,104727.0,2,Yes
0113,35,Prefer not to say,Native American,Heterosexual,Jewish,Single,Low,Ph.D.,22,Tech,Executive,Accepted,133928.0,9,No
0114,33,Prefer not to say,Asian,LGBTQ+,Muslim,Single,Middle,High School,20,Healthcare,Mid-Level,Accepted,40040.0,5,No
0115,62,Female,Other,LGBTQ+,Jewish,Single,Low,High School,8,Finance,Mid-Level,Rejected,,2,No
0116,33,Non-Binary,Asian,Heterosexual,Muslim,Widowed,High,Ph.D.,4,Tech,Executive,Accepted,195663.0,9,Yes
0117,63,Female,Hispanic,LGBTQ+,Christian,Divorced,Low,Ph.D.,11,Retail,Entry-Level,Rejected,,2,Yes
0118,42,Prefer not to say,Asian,LGBTQ+,Hindu,Divorced,High,High School,11,Tech,Senior-Level,Accepted,194693.0,2,No
0119,26,Male,Hispanic,LGBTQ+,Other,Married,High,Ph.D.,30,Retail,Mid-Level,Accepted,46541.0,8,Yes
0120,36,Female,Asian,Heterosexual,Christian,Divorced,Middle,Ph.D.,34,Education,Senior-Level,Accepted,199581.0,4,No
0121,40,Male,Other,LGBTQ+,Hindu,Single,Middle,Ph.D.,25,Retail,Executive,Rejected,,6,Yes
0122,49,Prefer not to say,Hispanic,LGBTQ+,Christian,Widowed,Low,Ph.D.,38,Finance,Senior-Level,Rejected,,2,Yes
0123,38,Non-Binary,Hispanic,LGBTQ+,Non-religious,Widowed,Low,Ph.D.,22,Education,Entry-Level,Rejected,,10,No
0124,35,Male,Asian,LGBTQ+,Hindu,Married,Low,Bachelor's,38,Retail,Executive,Accepted,63090.0,2,Yes
0125,59,Non-Binary,Hispanic,LGBTQ+,Non-religious,Single,High,Bachelor's,28,Healthcare,Senior-Level,Rejected,,2,Yes
0126,51,Non-Binary,White,LGBTQ+,Other,Divorced,Low,High School,0,Retail,Mid-Level,Rejected,,9,No
0127,53,Male,Hispanic,LGBTQ+,Other,Widowed,Low,Master's,31,Finance,Entry-Level,Accepted,49412.0,8,Yes
0128,63,Prefer not to say,Asian,LGBTQ+,Other,Divorced,High,High School,17,Manufacturing,Senior-Level,Rejected,,3,Yes
0129,41,Female,Asian,Heterosexual,Muslim,Married,Middle,High School,11,Manufacturing,Senior-Level,Rejected,,9,Yes
0130,57,Male,Asian,LGBTQ+,Jewish,Widowed,High,Ph.D.,26,Manufacturing,Entry-Level,Accepted,113106.0,2,No
0131,47,Non-Binary,Black,Heterosexual,Muslim,Widowed,High,High School,3,Manufacturing,Mid-Level,Rejected,,3,Yes
0132,38,Female,Hispanic,LGBTQ+,Christian,Divorced,Low,Master's,8,Retail,Senior-Level,Accepted,161746.0,3,Yes
0133,28,Non-Binary,Other,Heterosexual,Christian,Single,Low,Master's,13,Manufacturing,Executive,Accepted,160557.0,9,No
0134,59,Non-Binary,White,Heterosexual,Other,Widowed,Middle,Ph.D.,4,Retail,Entry-Level,Accepted,145239.0,7,No
0135,47,Female,Hispanic,Heterosexual,Hindu,Divorced,High,Master's,25,Finance,Senior-Level,Accepted,113654.0,4,No
0136,25,Non-Binary,White,Heterosexual,Muslim,Single,Low,Master's,24,Manufacturing,Executive,Accepted,71864.0,6,No
0137,30,Female,White,LGBTQ+,Jewish,Divorced,Middle,High School,2,Education,Executive,Accepted,86398.0,10,No
0138,21,Male,Hispanic,LGBTQ+,Non-religious,Widowed,Middle,High School,3,Education,Mid-Level,Rejected,,6,No
0139,41,Male,White,Heterosexual,Non-religious,Married,Middle,Master's,4,Education,Executive,Rejected,,10,Yes
0140,26,Male,White,LGBTQ+,Hindu,Divorced,Low,Bachelor's,38,Manufacturing,Executive,Accepted,41876.0,1,Yes
0141,63,Non-Binary,Other,LGBTQ+,Non-religious,Widowed,Low,Bachelor's,20,Manufacturing,Senior-Level,Accepted,133010.0,10,No
0142,55,Non-Binary,Native American,LGBTQ+,Other,Divorced,Middle,High School,11,Healthcare,Entry-Level,Rejected,,10,No
0143,64,Male,Native American,LGBTQ+,Hindu,Married,High,High School,18,Education,Mid-Level,Rejected,,3,Yes
0144,20,Male,Black,Heterosexual,Jewish,Divorced,Middle,Bachelor's,26,Retail,Mid-Level,Rejected,,9,No
0145,65,Male,Mixed,Heterosexual,Non-religious,Married,High,Master's,30,Manufacturing,Executive,Rejected,,3,No
0146,52,Non-Binary,Native American,LGBTQ+,Other,Divorced,High,Ph.D.,12,Finance,Senior-Level,Rejected,,4,No
0147,36,Female,Mixed,LGBTQ+,Hindu,Widowed,Middle,Master's,18,Tech,Executive,Rejected,,6,Yes
0148,36,Male,Hispanic,Heterosexual,Hindu,Widowed,High,Master's,30,Finance,Mid-Level,Rejected,,9,No
0149,26,Male,Native American,Heterosexual,Muslim,Single,High,Bachelor's,40,Finance,Entry-Level,Accepted,138344.0,6,No
0150,24,Female,Asian,Heterosexual,Jewish,Widowed,Middle,Bachelor's,18,Healthcare,Senior-Level,Accepted,53451.0,10,Yes
0151,52,Male,Black,LGBTQ+,Muslim,Single,Middle,Ph.D.,11,Retail,Senior-Level,Accepted,32429.0,5,Yes
0152,39,Non-Binary,White,LGBTQ+,Muslim,Widowed,Middle,Bachelor's,7,Healthcare,Mid-Level,Rejected,,5,Yes
0153,18,Non-Binary,Other,LGBTQ+,Non-religious,Married,Low,Ph.D.,27,Manufacturing,Senior-Level,Accepted,135076.0,2,Yes
0154,26,Prefer not to say,Hispanic,Heterosexual,Christian,Divorced,Middle,Bachelor's,28,Healthcare,Senior-Level,Rejected,,10,Yes
0155,34,Non-Binary,Mixed,Heterosexual,Christian,Single,Middle,Master's,10,Education,Senior-Level,Accepted,197434.0,5,No
0156,57,Female,Black,Heterosexual,Jewish,Married,Middle,Master's,26,Retail,Executive,Accepted,94871.0,10,Yes
0157,51,Prefer not to say,Native American,LGBTQ+,Christian,Single,Low,Bachelor's,36,Manufacturing,Mid-Level,Accepted,116014.0,9,No
0158,25,Female,Mixed,LGBTQ+,Christian,Widowed,Low,Ph.D.,8,Manufacturing,Executive,Rejected,,10,Yes
0159,53,Prefer not to say,Mixed,LGBTQ+,Other,Single,Middle,Master's,0,Retail,Mid-Level,Accepted,41872.0,7,No
0160,62,Male,Native American,Heterosexual,Christian,Widowed,Low,Master's,26,Finance,Mid-Level,Rejected,,6,No
0161,46,Prefer not to say,White,Heterosexual,Other,Married,High,Master's,7,Finance,Executive,Accepted,88376.0,1,Yes
0162,37,Prefer not to say,Mixed,LGBTQ+,Non-religious,Widowed,Low,Bachelor's,29,Healthcare,Mid-Level,Rejected,,4,Yes
0163,20,Prefer not to say,Native American,Heterosexual,Muslim,Married,Low,High School,19,Tech,Executive,Accepted,94155.0,1,No
0164,46,Female,Native American,Heterosexual,Christian,Married,High,Master's,14,Retail,Senior-Level,Rejected,,4,No
0165,27,Female,White,LGBTQ+,Hindu,Single,High,Bachelor's,40,Retail,Executive,Rejected,,1,No
0166,59,Prefer not to say,Other,LGBTQ+,Other,Widowed,Middle,Bachelor's,19,Education,Mid-Level,Rejected,,4,Yes
0167,37,Female,Other,LGBTQ+,Christian,Widowed,Middle,Bachelor's,24,Finance,Senior-Level,Accepted,116576.0,2,No
0168,41,Male,Native American,Heterosexual,Christian,Divorced,Middle,High School,2,Finance,Mid-Level,Rejected,,4,No
0169,37,Male,Black,Heterosexual,Other,Single,High,Ph.D.,15,Retail,Mid-Level,Rejected,,4,No
0170,36,Prefer not to say,White,LGBTQ+,Hindu,Divorced,Middle,Ph.D.,29,Tech,Executive,Rejected,,4,No
0171,38,Prefer not to say,Asian,Heterosexual,Other,Married,Low,Master's,35,Manufacturing,Executive,Rejected,,3,Yes
0172,39,Female,White,Heterosexual,Jewish,Divorced,Middle,Ph.D.,31,Education,Mid-Level,Rejected,,3,Yes
0173,64,Prefer not to say,Black,Heterosexual,Non-religious,Single,Low,High School,0,Education,Mid-Level,Accepted,47817.0,3,Yes
0174,31,Prefer not to say,Hispanic,Heterosexual,Non-religious,Widowed,High,Ph.D.,1,Tech,Executive,Accepted,34384.0,9,No
0175,52,Non-Binary,Asian,LGBTQ+,Muslim,Single,Low,Bachelor's,15,Finance,Senior-Level,Rejected,,5,No
0176,23,Non-Binary,White,LGBTQ+,Non-religious,Married,High,Bachelor's,19,Retail,Entry-Level,Accepted,54510.0,7,No
0177,42,Prefer not to say,Asian,Heterosexual,Other,Married,Low,Ph.D.,27,Retail,Senior-Level,Accepted,168453.0,1,Yes
0178,31,Prefer not to say,Hispanic,Heterosexual,Christian,Divorced,High,High School,5,Healthcare,Entry-Level,Accepted,183887.0,3,No
0179,22,Non-Binary,Black,Heterosexual,Non-religious,Widowed,High,Master's,24,Retail,Mid-Level,Accepted,161279.0,6,Yes
0180,24,Prefer not to say,Black,Heterosexual,Hindu,Widowed,Middle,High School,20,Healthcare,Executive,Rejected,,4,No
0181,53,Prefer not to say,White,Heterosexual,Other,Widowed,Low,Master's,15,Retail,Entry-Level,Accepted,100247.0,3,No
0182,63,Female,Mixed,LGBTQ+,Hindu,Divorced,Low,High School,0,Healthcare,Executive,Rejected,,5,Yes
0183,26,Male,Black,LGBTQ+,Jewish,Widowed,Low,High School,2,Healthcare,Entry-Level,Rejected,,7,Yes
0184,36,Prefer not to say,White,Heterosexual,Other,Married,High,Bachelor's,24,Finance,Mid-Level,Rejected,,5,No
0185,49,Female,Asian,Heterosexual,Jewish,Divorced,Middle,Master's,30,Tech,Senior-Level,Rejected,,4,No
0186,56,Female,White,Heterosexual,Muslim,Divorced,Low,Ph.D.,21,Manufacturing,Executive,Rejected,,8,No
0187,45,Female,Hispanic,LGBTQ+,Non-religious,Married,Middle,Master's,11,Education,Senior-Level,Rejected,,8,Yes
0188,38,Prefer not to say,Hispanic,LGBTQ+,Hindu,Single,High,Bachelor's,37,Manufacturing,Mid-Level,Accepted,151011.0,4,No
0189,36,Male,Other,LGBTQ+,Other,Widowed,Low,Master's,15,Healthcare,Mid-Level,Rejected,,7,Yes
0190,46,Prefer not to say,Native American,LGBTQ+,Non-religious,Widowed,High,High School,11,Retail,Entry-Level,Accepted,95072.0,6,Yes
0191,59,Male,Native American,LGBTQ+,Hindu,Widowed,Low,High School,3,Healthcare,Mid-Level,Accepted,146858.0,6,No
0192,47,Female,Hispanic,Heterosexual,Jewish,Single,Middle,Ph.D.,5,Tech,Mid-Level,Rejected,,5,No
0193,47,Female,Native American,LGBTQ+,Hindu,Widowed,Low,Ph.D.,28,Healthcare,Entry-Level,Rejected,,1,Yes
0194,19,Non-Binary,Mixed,Heterosexual,Other,Married,High,Bachelor's,33,Finance,Mid-Level,Rejected,,9,No
0195,47,Female,Other,LGBTQ+,Other,Married,Low,Ph.D.,25,Tech,Mid-Level,Rejected,,10,No
0196,42,Male,Mixed,Heterosexual,Muslim,Divorced,High,High School,18,Tech,Mid-Level,Rejected,,6,Yes
0197,47,Male,Hispanic,LGBTQ+,Non-religious,Divorced,High,Ph.D.,39,Education,Entry-Level,Rejected,,6,No
0198,57,Female,Other,LGBTQ+,Non-religious,Single,High,Bachelor's,20,Tech,Mid-Level,Rejected,,2,Yes
0199,41,Female,Native American,LGBTQ+,Jewish,Married,High,Ph.D.,27,Finance,Executive,Accepted,175467.0,3,No
0200,36,Female,Black,LGBTQ+,Jewish,Single,Middle,High School,15,Finance,Mid-Level,Rejected,,9,No
0201,44,Prefer not to say,White,LGBTQ+,Jewish,Married,Low,High School,7,Healthcare,Entry-Level,Rejected,,4,No
0202,28,Prefer not to say,Native American,LGBTQ+,Non-religious,Single,High,High School,8,Manufacturing,Senior-Level,Accepted,145701.0,9,Yes
0203,45,Male,Mixed,Heterosexual,Hindu,Single,Middle,Master's,22,Tech,Executive,Accepted,92113.0,4,No
0204,63,Prefer not to say,Black,Heterosexual,Muslim,Married,Low,Master's,34,Healthcare,Mid-Level,Rejected,,5,No
0205,54,Non-Binary,Other,Heterosexual,Muslim,Widowed,Low,Master's,8,Retail,Mid-Level,Accepted,68336.0,6,Yes
0206,61,Prefer not to say,White,Heterosexual,Non-religious,Divorced,High,Ph.D.,24,Education,Entry-Level,Accepted,135604.0,9,No
0207,62,Non-Binary,White,LGBTQ+,Hindu,Single,High,High School,14,Retail,Senior-Level,Accepted,170096.0,7,Yes
0208,45,Female,White,LGBTQ+,Hindu,Divorced,Middle,Bachelor's,36,Education,Senior-Level,Accepted,42043.0,2,No
0209,19,Male,Other,Heterosexual,Jewish,Widowed,Low,Ph.D.,12,Retail,Mid-Level,Rejected,,3,No
0210,23,Non-Binary,Hispanic,Heterosexual,Hindu,Married,Low,Ph.D.,40,Healthcare,Mid-Level,Rejected,,2,Yes
0211,18,Female,White,Heterosexual,Muslim,Married,High,Ph.D.,0,Tech,Senior-Level,Accepted,140707.0,3,No
0212,22,Female,White,Heterosexual,Other,Single,Low,Master's,23,Healthcare,Mid-Level,Rejected,,3,Yes
0213,22,Male,Native American,Heterosexual,Jewish,Divorced,High,Bachelor's,40,Retail,Mid-Level,Rejected,,10,No
